File Name,Sentence,Found Sentence_1,Found In File_1,Found Sentence_2,Found In File_2,Found Sentence_3,Found In File_3
2009_barack_obama_d.pdf,"we failed to look beyond the next payment, the next quarter, or the next election.",In other words we have lived through an era where too often short-term gains were prized over long-term prosperity where we failed to look beyond the next payment the next quarter or the next election. A surplus became an excuse to transfer wealth to the wealthy instead of an opportunity to invest in our future.,2009_barack_obama_d.pdf,They're still the right thing to do. And I won't let up until they get done. But for my final address to this Chamber I don't want to just talk about next year. I want to focus on the next 5 years the next 10 years and beyond.,2016_barack_obama_d.pdf,The regime is more isolated than ever before. Its leaders are faced with crippling sanctions and as long as they shirk their responsibilities this pressure will not relent. Let there be no doubt: America is determined to prevent Iran from getting a nuclear weapon and I will take no options off the table to achieve that goal.,2012_barack_obama_d.pdf
2010_barack_obama_d.pdf,But we still need to govern.,So no I will not give up on trying to change the tone of our politics. I know it's an election year. And after last week it's clear that campaign fever has come even earlier than usual. But we still need to govern.,2010_barack_obama_d.pdf,The regime is more isolated than ever before. Its leaders are faced with crippling sanctions and as long as they shirk their responsibilities this pressure will not relent. Let there be no doubt: America is determined to prevent Iran from getting a nuclear weapon and I will take no options off the table to achieve that goal.,2012_barack_obama_d.pdf,But we have never measured progress by these yardsticks alone. We measure progress by the success of our people by the jobs they can find and the quality of life those jobs offer by the prospects of a small-business owner who dreams of turning a good idea into a thriving enterprise by the opportunities for a better life that we pass on to our children.,2011_barack_obama_d.pdf
2011_barack_obama_d.pdf,"As Robert Kennedy told us:  file:///C/WalidLenovo/SEAS6800Local/USBankLLM/textfiles/2011_barack_obama_d.txt [10/18/2023 3:48:40 PM]""The future is not a gift.","The future is ours to win. But to get there we can't just stand still. As Robert Kennedy told us: file:///C/WalidLenovo/SEAS6800Local/USBankLLM/textfiles/2011_barack_obama_d.txt[10/18/2023 3:48:40 PM] ""The future is not a gift. It is an achievement."" Sustaining the American Dream has never been about standing pat.",2011_barack_obama_d.pdf,Thirty-seven days later Plan B succeeded and the file:///C/WalidLenovo/SEAS6800Local/USBankLLM/textfiles/2011_barack_obama_d.txt[10/18/2023 3:48:40 PM] miners were rescued. But because he didn't want all of the attention Brandon wasn't there when the miners emerged. He'd already gone back home back to work on his next project.,2011_barack_obama_d.pdf,And I file:///C/WalidLenovo/SEAS6800Local/USBankLLM/textfiles/2015_barack_obama_d.txt[10/18/2023 3:48:40 PM] want to work with this Congress to make sure Americans already burdened with student loans can reduce their monthly payments so that student debt doesn't derail anyone's dreams. Thanks to Vice President Biden's great work to update our job training system we're connecting community colleges with local employers to train workers to fill high-paying jobs like coding and nursing and robotics.,2015_barack_obama_d.pdf
2012_barack_obama_d.pdf,We bet on American ingenuity.,And together the entire industry added nearly a hundred and sixty thousand jobs. We bet on American workers. We bet on American ingenuity. And tonight the American auto industry is back. What's happening in Detroit can happen in other industries. It can happen in Cleveland and Pittsburgh and Raleigh.,2012_barack_obama_d.pdf,Send me a law that gives them the chance to earn their citizenship. I will sign it right away. You see an economy built to last is one where we encourage the talent and ingenuity of every person in this country. That means women should earn equal pay for equal work.,2012_barack_obama_d.pdf,"Not some powerful force that we have no control over. It's us. It's ""We the People."" In another era when our democracy was tested Franklin Roosevelt reminded us ""In America we do our part."" We all do our part.",2021_joseph_r_biden_d.pdf
2013_barack_obama_d.pdf,"creates good, middle class jobs, that must be the north star that guides our efforts.",A growing economy that creates good middle class jobs that must be the north star that guides our efforts. Every day we should ask ourselves three questions as a nation: How do we attract more jobs to our shores? How do we equip our people with the skills they need to get those jobs?,2013_barack_obama_d.pdf,[Laughter] You will be pretty lonely because you'll be debating our military most of America's business leaders the majority of the American people almost the entire scientific community and 200 nations around the world who agree it's a problem and intend to solve it.,2016_barack_obama_d.pdf,We've made college affordable for nearly 7 million more students--7 million. And we have provided the resources necessary to prevent painful cuts and teacher layoffs that would set back our children's progress. But we know that our schools don't just need more resources they need more reform.,2009_barack_obama_d.pdf
2014_barack_obama_d.pdf,"marches the red, white, and blue into the Olympic Stadium and brings home the gold.",We do these things because they help promote our long-term security and we do them because we believe in the inherent dignity and equality of every human being regardless of race or religion creed or sexual orientation. And next week the world will see one expression of that commitment when Team U.S.A. marches the red white and blue into the Olympic Stadium and brings home the gold.,2014_barack_obama_d.pdf,All Americans are united with the Venezuelan people in their righteous struggle for freedom! Socialism destroys nations. But always remember freedom unifies the soul. To safeguard American Liberty we have invested a record-breaking $2.2 trillion in the United States Military. We have purchased the finest planes missiles rockets ships and every other form of military equipment -- all made in the United States of America.,2020_donald_j_trump_r.pdf,The regime is more isolated than ever before. Its leaders are faced with crippling sanctions and as long as they shirk their responsibilities this pressure will not relent. Let there be no doubt: America is determined to prevent Iran from getting a nuclear weapon and I will take no options off the table to achieve that goal.,2012_barack_obama_d.pdf
2015_barack_obama_d.pdf,That's what makes us exceptional.,Looking to the future instead of the past. Making sure we match our power with diplomacy and use force wisely. Building coalitions to meet new challenges and opportunities. Leading -- always -- with the example of our values. That's what makes us exceptional.,2015_barack_obama_d.pdf,Because living our values doesn't make us weaker it makes us safer and it makes us stronger. And that is why I can stand here tonight and say without exception or equivocation that the United States of America does not torture. We can make that commitment here tonight.,2009_barack_obama_d.pdf,file:///C/WalidLenovo/SEAS6800Local/USBankLLM/textfiles/2010_barack_obama_d.txt[10/18/2023 3:48:39 PM] [Laughter] As a result millions of Americans had more to spend on gas and food and other necessities all of which helped businesses keep more workers. And we haven't raised income taxes by a single dime on a single person--not a single dime.,2010_barack_obama_d.pdf
2016_barack_obama_d.pdf,"correctness, this is a matter of understanding just what it is that makes us strong.",And that's why we need to reject any politics-any politics-that targets people because of race or religion. Let me just say this. This is not a matter of political correctness this is a matter of understanding just what it is that makes us strong. The world respects us not just for our arsenal it respects us for our diversity and our openness and the way we respect every faith.,2016_barack_obama_d.pdf,But it should also guide us as we look to pay down our debt and invest in our future. Right now our most immediate priority is stopping a tax hike on a hundred and sixty million working Americans while the recovery is still fragile. People cannot afford losing $40 out of each paycheck this year.,2012_barack_obama_d.pdf,Days ago Agent Ortiz was promoted to Deputy Chief of Border Patrol -- and he joins us tonight. Chief Ortiz: Please stand -- a grateful Nation thanks you and all the heroes of Border Patrol. To build on these historic gains we are working on legislation to replace our outdated and randomized immigration system with one based on merit welcoming those who follow the rules contribute to our economy support themselves financially and uphold our values.,2020_donald_j_trump_r.pdf
2017_donald_j_trump_r.pdf,"I am.I believe strongly in free trade, but it also has to be fair trade.",They said that in the case of another country they taxed their motorcycles at 100 percent. They weren't even asking for a change. But I am.I believe strongly in free trade but it also has to be fair trade. It's been a long time since we had fair trade.,2017_donald_j_trump_r.pdf,Crucially our plan closes the terrible loopholes exploited by criminals and terrorists to enter our country and it finally ends the horrible and dangerous practice of catch and release. The third pillar ends the visa lottery a program that randomly hands out green cards without any regard for skill merit or the safety of American people.,2018_donald_j_trump_r.pdf,We know the process will be messy and we cannot presume to dictate the course of change in countries like Egypt but we can and will insist on respect for the fundamental rights of all people. We'll keep the pressure on a Syrian regime that has murdered its own people and support opposition leaders that respect the rights of every Syrian.,2013_barack_obama_d.pdf
2018_donald_j_trump_r.pdf,The Holets named their new daughter Hope.,He took out a picture of his wife and their four kids. Then he went home to tell his wife Rebecca. In an instant she agreed to adopt. The Holets named their new daughter Hope. Ryan and Rebecca you embody the goodness of our nation.,2018_donald_j_trump_r.pdf,"In fact they proudly displayed five of their magnificent motorcycles made in the U.S.A. on the front lawn of the White House. [Laughter] And they wanted me to ride one and I said ""No thank you."" [Laughter]At our meeting I asked them how are you doing how is business?",2017_donald_j_trump_r.pdf,Twenty million Americans lost their job in the pandemic--working- and middle-class Americans. At the same time roughly 650 billionaires in America saw their net worth increase by more than $1 trillion--in the same exact period. Let me say it again: 650 people increased their wealth by more than $1 trillion during this pandemic.,2021_joseph_r_biden_d.pdf
